,proyecto,entidad,sectorial,P2017,C2017,D2017,P2018,C2018,D2018,P2019,C2019,D2019,P2020,C2020,D2020,P2021,C2021,D2021,text
0,     proyecto de desarrollo minero   san francisco de muyuyacu,  ingresos y transferencias,  sectorial tesoro nacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309582.9,0.0,  ingresos y transferencias     proyecto de desarrollo minero   san francisco de muyuyacu  sectorial tesoro nacional
1,     proyecto de inversion y de cooperacion externo no reembolsable     programa emprendamos,  ministerio de produccion comercio exterior inversiones y pesca,  sectorial comercio exterior  industrializacion  pesca y competitividad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242064.01,1140213.47,292217.49,490299.43000000005,1243869.24,535327.85,  ministerio de produccion comercio exterior inversiones y pesca     proyecto de inversion y de cooperacion externo no reembolsable     programa emprendamos  sectorial comercio exterior  industrializacion  pesca y competitividad
2,     rehabilitacion y mtto c.     y     de baeza  lago agrio  tramo: simon bolivar  lago agrio de  km. long,  ministerio de transporte y obras publicas,  sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124149.6,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas     rehabilitacion y mtto c.     y     de baeza  lago agrio  tramo: simon bolivar  lago agrio de  km. long  sectorial comunicaciones
3,    fortalecimiento de las capacidades en ciencia tecnologia investigacion e innovacion de las instituciones de ed,  escuela superior politecnica del chimborazo,  sectorial educacion,0.0,0.0,0.0,0.0,0.0,0.0,6133.47,1618254.9,26725.68,0.0,0.0,0.0,0.0,0.0,0.0,  escuela superior politecnica del chimborazo    fortalecimiento de las capacidades en ciencia tecnologia investigacion e innovacion de las instituciones de ed  sectorial educacion
4,    programa de reduccion de la contaminacion ambiental   racionalizacion del subsidio de combustibles del transport,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas    programa de reduccion de la contaminacion ambiental   racionalizacion del subsidio de combustibles del transport  sectorial  comunicaciones
5,    registro de emisiones y transferencias de contaminantes,  ministerio del ambiente,  sectorial  ambiente,423662.66,2188977.3599999994,423662.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio del ambiente    registro de emisiones y transferencias de contaminantes  sectorial  ambiente
6,   a) proyecto intervenciones urbanisticas para mejorar la calidad del habitat y espacio publico dentro del poligono especial de interes social en monte sinai,  ministerio de desarrollo urbano y vivienda,  sectorial desarrollo urbano y vivienda,0.0,0.0,0.0,0.0,45027144.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de desarrollo urbano y vivienda   a) proyecto intervenciones urbanisticas para mejorar la calidad del habitat y espacio publico dentro del poligono especial de interes social en monte sinai  sectorial desarrollo urbano y vivienda
7,   abastecimiento de a. p. y agua tratada varios cantones,  secretaria nacional del agua,  sectorial recursos naturales,0.0,0.0,0.0,0.0,161943.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  secretaria nacional del agua   abastecimiento de a. p. y agua tratada varios cantones  sectorial recursos naturales
8,   abastecimiento de agua potable y agua tratada a varios cantones,  ministerio del ambiente y agua,  sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio del ambiente y agua   abastecimiento de agua potable y agua tratada a varios cantones  sectorial ambiente
9,   abastecimiento de agua potable y agua tratada a varios cantones,  secretaria nacional del agua,  sectorial recursos naturales,0.0,162030.0,0.0,141583.7,1740521.08,157339.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  secretaria nacional del agua   abastecimiento de agua potable y agua tratada a varios cantones  sectorial recursos naturales
