id,text,lemmas
G1T1,"Poner fin a la pobreza en todas sus formas en todo el mundo. Para 2030, erradicar la pobreza extrema para todas las personas en el mundo, actualmente medida por un ingreso por persona inferior a 1,25 dólares al día.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NOUN'), (',', 'PUNCT'), ('erradicar', 'VERB'), ('extremo', 'ADJ'), ('persona', 'NOUN'), ('actualmente', 'ADV'), ('medido', 'ADJ'), ('por', 'ADP'), ('uno', 'DET'), ('ingreso', 'NOUN'), ('inferior', 'ADJ'), ('1.25', 'NUM'), ('dólares', 'NOUN'), ('al', 'ADP'), ('día', 'NOUN'), ('..', 'PUNCT')]"
G1T2,"Poner fin a la pobreza en todas sus formas en todo el mundo. Para 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños y niñas de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('reducir', 'VERB'), ('al', 'ADP'), ('menos', 'ADV'), ('mitad', 'NOUN'), ('proporción', 'NOUN'), ('de', 'ADP'), ('hombre', 'NOUN'), ('mujer', 'NOUN'), ('y', 'CCONJ'), ('niño', 'NOUN'), ('niña', 'NOUN'), ('edad', 'NOUN'), ('que', 'PRON'), ('vivir', 'VERB'), ('dimensión', 'NOUN'), ('con', 'ADP'), ('arreglo', 'NOUN'), ('definición', 'NOUN'), ('nacional', 'ADJ'), ('..', 'PUNCT')]"
G1T3,"Poner fin a la pobreza en todas sus formas en todo el mundo. Poner en práctica a nivel nacional sistemas y medidas apropiadas de protección social para todos y, para 2030, lograr una amplia cobertura de los pobres y los más vulnerables.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('práctica', 'NOUN'), ('nivel', 'NOUN'), ('nacional', 'ADJ'), ('sistema', 'NOUN'), ('y', 'CCONJ'), ('medida', 'NOUN'), ('apropiado', 'ADJ'), ('de', 'ADP'), ('protección', 'NOUN'), ('social', 'ADJ'), ('para', 'ADP'), ('todo', 'PRON'), (',', 'PUNCT'), ('2030', 'NOUN'), ('lograr', 'VERB'), ('uno', 'DET'), ('amplio', 'ADJ'), ('cobertura', 'NOUN'), ('pobre', 'NOUN'), ('más', 'ADV'), ('vulnerable', 'ADJ'), ('..', 'PUNCT')]"
G1T4,"Poner fin a la pobreza en todas sus formas en todo el mundo. Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los más vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías y los servicios económicos, incluida la microfinanciación.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('garantizar', 'VERB'), ('que', 'SCONJ'), ('hombre', 'NOUN'), ('y', 'CCONJ'), ('mujer', 'NOUN'), ('particular', 'NOUN'), ('pobre', 'NOUN'), ('más', 'ADV'), ('vulnerable', 'ADJ'), ('tengan', 'VERB'), ('mismo', 'DET'), ('derecho', 'NOUN'), ('recurso', 'NOUN'), ('económico', 'ADJ'), ('así', 'ADV'), ('como', 'SCONJ'), ('acceso', 'NOUN'), ('servicio', 'NOUN'), ('básico', 'ADJ'), ('propiedad', 'NOUN'), ('control', 'NOUN'), ('de', 'ADP'), ('tierra', 'NOUN'), ('otro', 'DET'), ('bien', 'NOUN'), ('herencia', 'NOUN'), ('natural', 'ADJ'), ('nuevo', 'ADJ'), ('tecnología', 'NOUN'), ('incluir', 'VERB'), ('microfinanciación', 'NOUN'), ('..', 'PUNCT')]"
G1T5,"Poner fin a la pobreza en todas sus formas en todo el mundo. Para 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones vulnerables y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y a otros desastres económicos, sociales y ambientales.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('fomentar', 'VERB'), ('resiliencia', 'NOUN'), ('de', 'ADP'), ('pobre', 'NOUN'), ('y', 'CCONJ'), ('persona', 'NOUN'), ('que', 'PRON'), ('él', 'PRON'), ('encontrar', 'VERB'), ('situación', 'NOUN'), ('vulnerable', 'ADJ'), ('reducir', 'VERB'), ('exposición', 'NOUN'), ('vulnerabilidad', 'NOUN'), ('fenómeno', 'NOUN'), ('extremo', 'ADJ'), ('relacionado', 'ADJ'), ('con', 'ADP'), ('clima', 'NOUN'), ('otro', 'DET'), ('desastre', 'NOUN'), ('económico', 'ADJ'), ('social', 'ADJ'), ('ambiental', 'ADJ'), ('..', 'PUNCT')]"
G1T6,"Poner fin a la pobreza en todas sus formas en todo el mundo. Garantizar una movilización importante de recursos procedentes de diversas fuentes, incluso mediante la mejora de la cooperación para el desarrollo, a fin de proporcionar medios suficientes y previsibles para los países en desarrollo, en particular los países menos adelantados, para poner en práctica programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('garantizar', 'VERB'), ('uno', 'DET'), ('movilización', 'NOUN'), ('importante', 'ADJ'), ('de', 'ADP'), ('recurso', 'NOUN'), ('procedente', 'ADJ'), ('diverso', 'DET'), ('fuente', 'NOUN'), (',', 'PUNCT'), ('incluso', 'ADV'), ('mediante', 'ADP'), ('mejora', 'NOUN'), ('cooperación', 'NOUN'), ('para', 'ADP'), ('desarrollo', 'NOUN'), ('proporcionar', 'VERB'), ('medio', 'NOUN'), ('suficiente', 'ADJ'), ('y', 'CCONJ'), ('previsible', 'ADJ'), ('país', 'NOUN'), ('particular', 'NOUN'), ('menos', 'ADV'), ('adelantado', 'ADJ'), ('práctica', 'NOUN'), ('programa', 'NOUN'), ('política', 'ADJ'), ('encaminado', 'ADJ'), ('dimensión', 'NOUN'), ('..', 'PUNCT')]"
G1T7,"Poner fin a la pobreza en todas sus formas en todo el mundo. Crear marcos normativos sólidos en el ámbito nacional, regional e internacional, sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de género, a fin de apoyar la inversión acelerada en medidas para erradicar la pobreza.. Poner fin a la pobreza en todas sus formas en todo el mundo","[('poner', 'VERB'), ('fin', 'NOUN'), ('a', 'ADP'), ('el', 'DET'), ('pobreza', 'NOUN'), ('en', 'ADP'), ('todo', 'DET'), ('su', 'DET'), ('forma', 'NOUN'), ('mundo', 'NOUN'), ('.', 'PUNCT'), ('crear', 'VERB'), ('marco', 'NOUN'), ('normativo', 'ADJ'), ('sólido', 'ADJ'), ('ámbito', 'NOUN'), ('nacional', 'ADJ'), (',', 'PUNCT'), ('regional', 'ADJ'), ('e', 'CCONJ'), ('internacional', 'ADJ'), ('sobre', 'ADP'), ('base', 'NOUN'), ('de', 'ADP'), ('estrategia', 'NOUN'), ('desarrollo', 'NOUN'), ('favor', 'NOUN'), ('pobre', 'NOUN'), ('que', 'PRON'), ('tener', 'VERB'), ('cuenta', 'NOUN'), ('cuestión', 'NOUN'), ('género', 'NOUN'), ('apoyar', 'VERB'), ('inversión', 'NOUN'), ('acelerado', 'ADJ'), ('medida', 'NOUN'), ('para', 'ADP'), ('erradicar', 'VERB'), ('..', 'PUNCT')]"
G2T1,"Poner fin al hambre. Para 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones vulnerables, incluidos los lactantes, a una alimentación sana, nutritiva y suficiente durante todo el año. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('y', 'CCONJ'), ('asegurar', 'VERB'), ('el', 'DET'), ('acceso', 'NOUN'), ('de', 'ADP'), ('todo', 'DET'), ('persona', 'NOUN'), ('en', 'ADP'), ('particular', 'NOUN'), ('pobre', 'NOUN'), ('situación', 'NOUN'), ('vulnerable', 'ADJ'), ('incluir', 'VERB'), ('lactant', 'NOUN'), ('a', 'ADP'), ('uno', 'DET'), ('alimentación', 'NOUN'), ('sano', 'ADJ'), ('nutritivo', 'ADJ'), ('suficiente', 'ADJ'), ('durante', 'ADP'), ('año', 'NOUN')]"
G2T2,"Poner fin al hambre. Para 2030, poner fin a todas las formas de malnutrición, incluso logrando, a más tardar en 2025, las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años, y abordar las necesidades de nutrición de las adolescentes, las mujeres embarazadas y lactantes y las personas de edad. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('a', 'ADP'), ('todo', 'DET'), ('el', 'DET'), ('forma', 'NOUN'), ('de', 'ADP'), ('malnutrición', 'NOUN'), ('incluso', 'ADV'), ('lograr', 'VERB'), ('más', 'ADV'), ('tardar', 'NOUN'), ('en', 'ADP'), ('2025', 'NUM'), ('meta', 'NOUN'), ('convenida', 'ADJ'), ('internacionalmente', 'ADV'), ('sobre', 'ADP'), ('retraso', 'NOUN'), ('del', 'ADP'), ('crecimiento', 'NOUN'), ('y', 'CCONJ'), ('emaciación', 'NOUN'), ('niño', 'NOUN'), ('menor', 'ADJ'), ('5', 'NUM'), ('año', 'NOUN'), ('abordar', 'VERB'), ('necesidad', 'NOUN'), ('nutrición', 'NOUN'), ('adolescente', 'NOUN'), ('mujer', 'NOUN'), ('embarazado', 'ADJ'), ('lactant', 'ADJ'), ('persona', 'NOUN'), ('edad', 'NOUN')]"
G2T3,"Poner fin al hambre. Para 2030, duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala, en particular las mujeres, los pueblos indígenas, los agricultores familiares, los pastores y los pescadores, entre otras cosas mediante un acceso seguro y equitativo a las tierras, a otros recursos de producción e insumos, conocimientos, servicios financieros, mercados y oportunidades para la generación de valor añadido y empleos no agrícolas. Poner fin al hambre","[('poner', 'VERB'), ('fin', 'NOUN'), ('al', 'ADP'), ('hambre', 'NOUN'), ('.', 'PUNCT'), ('para', 'ADP'), ('2030', 'NUM'), (',', 'PUNCT'), ('duplicar', 'VERB'), ('el', 'DET'), ('productividad', 'NOUN'), ('agrícola', 'ADJ'), ('y', 'CCONJ'), ('ingreso', 'NOUN'), ('de', 'ADP'), ('productor', 'NOUN'), ('alimento', 'NOUN'), ('en', 'ADP'), ('pequeño', 'ADJ'), ('escala', 'NOUN'), ('particular', 'NOUN'), ('mujer', 'NOUN'), ('pueblo', 'NOUN'), ('indígena', 'ADJ'), ('agricultor', 'NOUN'), ('familiar', 'ADJ'), ('pastor', 'NOUN'), ('pescador', 'NOUN'), ('entre', 'ADP'), ('otro', 'DET'), ('cosa', 'NOUN'), ('mediante', 'ADP'), ('uno', 'DET'), ('acceso', 'NOUN'), ('seguro', 'ADJ'), ('equitativo', 'ADJ'), ('a', 'ADP'), ('tierra', 'NOUN'), ('recurso', 'NOUN'), ('producción', 'NOUN'), ('e', 'CCONJ'), ('insumo', 'NOUN'), ('conocimiento', 'NOUN'), ('servicio', 'NOUN'), ('financiero', 'ADJ'), ('mercado', 'NOUN'), ('oportunidad', 'NOUN'), ('generación', 'NOUN'), ('valor', 'NOUN'), ('añadido', 'ADJ'), ('empleo', 'NOUN'), ('no', 'ADV')]"
