,target,sdg,text
0,G1T1,G1,poner fin a la pobreza en todas sus formas en todo el mundo para erradicar la pobreza extrema para todas las personas en el mundo actualmente medida por un ingreso por persona inferior a dolares al dia poner fin a la pobreza en todas sus formas en todo el mundo
1,G1T2,G1,poner fin a la pobreza en todas sus formas en todo el mundo para reducir al menos a la mitad la proporcion de hombres mujeres y ninos y ninas de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales poner fin a la pobreza en todas sus formas en todo el mundo
2,G1T3,G1,poner fin a la pobreza en todas sus formas en todo el mundo poner en practica a nivel nacional sistemas y medidas apropiadas de proteccion social para todos y para lograr una amplia cobertura de los pobres y los mas vulnerables poner fin a la pobreza en todas sus formas en todo el mundo
3,G1T4,G1,poner fin a la pobreza en todas sus formas en todo el mundo para garantizar que todos los hombres y mujeres en particular los pobres y los mas vulnerables tengan los mismos derechos a los recursos economicos asi como acceso a los servicios basicos la propiedad y el control de las tierras y otros bienes la herencia los recursos naturales las nuevas tecnologias y los servicios economicos incluida la microfinanciacion poner fin a la pobreza en todas sus formas en todo el mundo
4,G1T5,G1,poner fin a la pobreza en todas sus formas en todo el mundo para fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones vulnerables y reducir su exposicion y vulnerabilidad a los fenomenos extremos relacionados con el clima y a otros desastres economicos sociales y ambientales poner fin a la pobreza en todas sus formas en todo el mundo
5,G1T6,G1,poner fin a la pobreza en todas sus formas en todo el mundo garantizar una movilizacion importante de recursos procedentes de diversas fuentes incluso mediante la mejora de la cooperacion para el desarrollo a fin de proporcionar medios suficientes y previsibles para los paises en desarrollo en particular los paises menos adelantados para poner en practica programas y politicas encaminados a poner fin a la pobreza en todas sus dimensiones poner fin a la pobreza en todas sus formas en todo el mundo
6,G1T7,G1,poner fin a la pobreza en todas sus formas en todo el mundo crear marcos normativos solidos en el ambito nacional regional e internacional sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de genero a fin de apoyar la inversion acelerada en medidas para erradicar la pobreza poner fin a la pobreza en todas sus formas en todo el mundo
7,G2T1,G2,poner fin al hambre para poner fin al hambre y asegurar el acceso de todas las personas en particular los pobres y las personas en situaciones vulnerables incluidos los lactantes a una alimentacion sana nutritiva y suficiente durante todo el ano poner fin al hambre
8,G2T2,G2,poner fin al hambre para poner fin a todas las formas de malnutricion incluso logrando a mas tardar en las metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciacion de los ninos menores de anos y abordar las necesidades de nutricion de las adolescentes las mujeres embarazadas y lactantes y las personas de edad poner fin al hambre
9,G2T3,G2,poner fin al hambre para duplicar la productividad agricola y los ingresos de los productores de alimentos en pequena escala en particular las mujeres los pueblos indigenas los agricultores familiares los pastores y los pescadores entre otras cosas mediante un acceso seguro y equitativo a las tierras a otros recursos de produccion e insumos conocimientos servicios financieros mercados y oportunidades para la generacion de valor anadido y empleos no agricolas poner fin al hambre
