id,proyecto,entidad,sectorial,C2017,D2017,C2018,D2018,C2019,D2019,C2020,D2020,C2021,D2021,ctotal,dtotal
P1000S17E520,plan de milagro indanza gualaquiza tramos 1 y 2,ministerio de transporte y obras publicas,sectorial comunicaciones,26724508.64,322084.44000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26724508.64,322084.44000000006
P1001S17E520,rehabilitacion y mantenimiento de la carretera e-25 a baba ubicada en la provincia de los rios,ministerio de transporte y obras publicas,sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1002S17E520,construccion carretera la troncal-puerto inca,ministerio de transporte y obras publicas,sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1003S17E520,mantenimiento vial de la provincia de manabi,ministerio de transporte y obras publicas,sectorial comunicaciones,27144658.209999997,3417112.5200000005,66883998.79000001,13206319.4,58771463.75,23353281.7,22860513.830000002,4857229.0,102326407.52000001,11724817.5,277987042.1,56558760.120000005
P1004S17E520,"reconstruccion y mantenimiento c. plan de milagro - indanza - gualaquiza, tramo 4: san juan bosco 25+000 - tucumba",ministerio de transporte y obras publicas,sectorial comunicaciones,37488752.9,18867428.900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37488752.9,18867428.900000002
P1005S17E520,estudio del puente en la carretera jivino verde-shushufindi : santa fe de 45 metros longitud,ministerio de transporte y obras publicas,sectorial comunicaciones,241458.0,0.0,0.0,0.0,271924.92000000004,0.0,160972.56,0.0,0.0,0.0,674355.48,0.0
P1006S17E520,mantenimiento de la provincia de santo domingo,ministerio de transporte y obras publicas,sectorial comunicaciones,32637190.21,10266665.52,26817911.080000002,5524650.23,23829396.900000002,4320493.3100000005,21071813.6,4000878.0,12726304.559999999,2319441.47,117082616.35000002,26432128.53
P1007S17E520,terminos de referencia para realizar los estudios definitivos de la via: toacaso-sigchos;tramo: san francisco-y,ministerio de transporte y obras publicas,sectorial comunicaciones,4428648.5,560993.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4428648.5,560993.97
P1008S17E520,construccion del puente rurayacu via hollin-loreto-coca,ministerio de transporte y obras publicas,sectorial comunicaciones,16069.84,0.0,4387.099999999999,3509.68,0.0,0.0,0.0,0.0,0.0,0.0,20456.94,3509.68
P1009S17E520,"construccion del puente chontayacu e45a (""y"" de narupa - hollin - lloreto)",ministerio de transporte y obras publicas,sectorial comunicaciones,60666.95999999999,0.0,26635.860000000004,26635.860000000004,0.0,0.0,0.0,0.0,0.0,0.0,87302.81999999999,26635.860000000004
P100S03E034,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,secretaria de gestion de riesgos,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P100S03E038,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,secretaria tecnica del plan toda una vida,sectorial administrativo,368396.43,221182.96999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368396.43,221182.96999999997
P100S03E048,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,secretaria tecnica para la gestion inclusiva en discapacidades,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P100S10E280,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,ministerio de inclusion economica y social,sectorial bienestar social,2141778.1899999995,21187.860000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141778.1899999995,21187.860000000004
P100S17E540,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,ministerio de telecomunicaciones y de la sociedad de la informacion,sectorial comunicaciones,575902.1400000002,188014.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575902.1400000002,188014.25
P1010S17E520,estudios factibilidad e impactos ambientales e ingenieria definitivos del puente sobre el rio leon y accesos,ministerio de transporte y obras publicas,sectorial comunicaciones,3116965.3200000003,0.0,219436.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3336401.9200000004,0.0
P1011S17E520,mantenimiento vial de la provincia de santa elena,ministerio de transporte y obras publicas,sectorial comunicaciones,7455396.37,2128575.36,29968046.710000005,9230976.33,15936729.2,3497868.2800000003,18840398.160000004,1954807.05,7372286.879999999,2962425.94,79572857.32,19774652.96
P1012S17E520,rehabilitacion de la via e-489 tramo playas - posorja de una longitud de 17 kms y del by pass de la via playas,ministerio de transporte y obras publicas,sectorial comunicaciones,6152109.1,3930300.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6152109.1,3930300.12
P1013S17E520,fase ii suma pedernales,ministerio de transporte y obras publicas,sectorial comunicaciones,17457372.21,2225942.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17457372.21,2225942.1
P1014S17E520,rehabilitacion del anillo vial del canton salcedo provincia de cotopaxi de 9.75 km. de longitud,ministerio de transporte y obras publicas,sectorial comunicaciones,46961991.109999985,3899791.7199999997,26048837.31,7329591.110000001,17284119.099999998,6850769.84,0.0,0.0,0.0,0.0,90294947.51999998,18080152.67
P1015S17E520,reconstruccin mejoramiento y sealizacin de la va de acceso a la poblacin de mataje y construccin del puente int,ministerio de transporte y obras publicas,sectorial comunicaciones,22435999.060000002,210616.15999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22435999.060000002,210616.15999999997
P1016S17E520,reconstruccion y mantenimiento de la carretera santo domingo 10 de agosto,ministerio de transporte y obras publicas,sectorial comunicaciones,232150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232150.0,0.0
P1017S17E520,fase ii chone calceta pinpiguasi,ministerio de transporte y obras publicas,sectorial comunicaciones,103794901.4,34337410.77,0.0,0.0,28463911.86,19948011.76,0.0,0.0,0.0,0.0,132258813.26,54285422.53
P1018S17E520,puente sobre el rio zamona,ministerio de transporte y obras publicas,sectorial comunicaciones,24398730.319999997,0.0,0.0,0.0,0.0,0.0,8492823.559999999,2526794.87,1115274.8599999999,0.0,34006828.739999995,2526794.87
P1019S17E520,ampliacion reconstruccion y fiscalizacion de la carretera san antonio-la margarita san vicente de 37 9 kms de,ministerio de transporte y obras publicas,sectorial comunicaciones,9432987.22,3727279.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9432987.22,3727279.51
P101S03E034,proyecto nacional de gestion del riesgo para el habitat y la vivienda,servicio nacional de gestion de riesgos y emergencias,sectorial administrativo,178629086.26000002,30473289.64,0.0,0.0,53676260.0,45445959.56,3162735.0,0.0,840249.0,0.0,236308330.26000002,75919249.2
P101S18E550,proyecto nacional de gestion del riesgo para el habitat y la vivienda,ministerio de desarrollo urbano y vivienda,sectorial desarrollo urbano y vivienda,83362605.78,34545812.940000005,160469642.4,8920069.6,27058654.41,9746213.959999999,0.0,0.0,0.0,0.0,270890902.59000003,53212096.50000001
P1020S17E520,puente sobre el rio florida,ministerio de transporte y obras publicas,sectorial comunicaciones,16545500.459999999,0.0,5976690.99,0.0,2916472.36,0.0,6142755.36,0.0,0.0,0.0,31581419.169999998,0.0
P1021S17E520,apoyo a la preparacion del programa de infraestructura vial ec-l1065 ec-ts/n,ministerio de transporte y obras publicas,sectorial comunicaciones,1541404.6800000002,852698.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541404.6800000002,852698.6
P1022S17E520,puente sobre el rio indillama,ministerio de transporte y obras publicas,sectorial comunicaciones,13705393.5,0.0,0.0,0.0,0.0,0.0,12042421.8,0.0,0.0,0.0,25747815.3,0.0
P1023S17E520,puente sobre el rio capivarayacu,ministerio de transporte y obras publicas,sectorial comunicaciones,16516221.77,7682555.79,793892.01,0.0,261553.09,0.0,0.0,0.0,0.0,0.0,17571666.87,7682555.79
