id,proyecto,entidad,sectorial,C2017,D2017,C2018,D2018,C2019,D2019,C2020,D2020,C2021,D2021,ctotal,dtotal,text,sentence,tokenized
P1000S17E520,plan de milagro indanza gualaquiza tramos 1 y 2,ministerio de transporte y obras publicas,sectorial comunicaciones,26724508.64,322084.44000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26724508.64,322084.44000000006,ministerio de transporte y obras publicas plan de milagro indanza gualaquiza tramos  y ,ministry of transport and public works miracle plan indanza gualaquiza sections 1 and 2,"[('ministerio', 'NN'), ('plan', 'NN'), ('indanza', 'JJ'), ('gualaquiza', 'NN'), ('tramos', 'NN'), ('y', 'NN')]"
P1001S17E520,rehabilitacion y mantenimiento de la carretera e-25 a baba ubicada en la provincia de los rios,ministerio de transporte y obras publicas,sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ministerio de transporte y obras publicas rehabilitacion y mantenimiento de la carretera e a baba ubicada en la provincia de los rios,ministry of transport and public works rehabilitation and maintenance of the e-25 road to baba located in the province of los rios,"[('ministerio', 'NN'), ('rehabilitacion', 'NN'), ('carretera', 'NN'), ('baba', 'NN'), ('ubicada', 'JJ'), ('en', 'NN')]"
P1002S17E520,construccion carretera la troncal-puerto inca,ministerio de transporte y obras publicas,sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ministerio de transporte y obras publicas construccion carretera la troncalpuerto inca,Ministry of Transport and Public Works construction of the trunk road-Puerto Inca,"[('ministerio', 'NN'), ('construccion', 'NN'), ('carretera', 'NN'), ('la', 'NN'), ('troncalpuerto', 'NN'), ('inca', 'NN')]"
P1003S17E520,mantenimiento vial de la provincia de manabi,ministerio de transporte y obras publicas,sectorial comunicaciones,27144658.21,3417112.5200000005,66883998.79000001,13206319.4,58771463.75,23353281.7,22860513.83,4857229.0,102326407.52,11724817.5,277987042.1,56558760.120000005,ministerio de transporte y obras publicas mantenimiento vial de la provincia de manabi,ministry of transport and public works road maintenance of the province of manabi,"[('ministerio', 'NN')]"
P1004S17E520,"reconstruccion y mantenimiento c. plan de milagro - indanza - gualaquiza, tramo 4: san juan bosco 25+000 - tucumba",ministerio de transporte y obras publicas,sectorial comunicaciones,37488752.9,18867428.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37488752.9,18867428.9,ministerio de transporte y obras publicas reconstruccion y mantenimiento c plan de milagro indanza gualaquiza tramo  san juan bosco + tucumba,"ministry of transport and public works reconstruction and maintenance c. miracle plan - indanza - gualaquiza, section 4: san juan bosco 25+000 - tucumba","[('ministerio', 'NN'), ('reconstruccion', 'NN'), ('y', 'NN'), ('mantenimiento', 'NN'), ('c', 'NN'), ('plan', 'NN'), ('indanza', 'JJ'), ('gualaquiza', 'NN'), ('tramo', 'NN'), ('san', 'JJ'), ('juan', 'JJ'), ('bosco', 'NN'), ('tucumba', 'NN')]"
P1005S17E520,estudio del puente en la carretera jivino verde-shushufindi : santa fe de 45 metros longitud,ministerio de transporte y obras publicas,sectorial comunicaciones,241458.0,0.0,0.0,0.0,271924.92000000004,0.0,160972.56,0.0,0.0,0.0,674355.48,0.0,ministerio de transporte y obras publicas estudio del puente en la carretera jivino verdeshushufindi santa fe de  metros longitud,"ministry of transport and public works study of the bridge on the jivino verde-shushufindi highway: santa fe, 45 meters long","[('ministerio', 'NN'), ('publicas', 'NN'), ('estudio', 'NN'), ('del', 'NN'), ('puente', 'NN'), ('carretera', 'NN'), ('jivino', 'NN'), ('verdeshushufindi', 'NN'), ('santa', 'JJ'), ('fe', 'NN'), ('longitud', 'NN')]"
P1006S17E520,mantenimiento de la provincia de santo domingo,ministerio de transporte y obras publicas,sectorial comunicaciones,32637190.21,10266665.52,26817911.08,5524650.23,23829396.9,4320493.3100000005,21071813.6,4000878.0,12726304.56,2319441.47,117082616.35000002,26432128.53,ministerio de transporte y obras publicas mantenimiento de la provincia de santo domingo,ministry of transport and public works maintenance of the province of santo domingo,"[('ministerio', 'NN'), ('domingo', 'NN')]"
P1007S17E520,terminos de referencia para realizar los estudios definitivos de la via: toacaso-sigchos;tramo: san francisco-y,ministerio de transporte y obras publicas,sectorial comunicaciones,4428648.5,560993.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4428648.5,560993.97,ministerio de transporte y obras publicas terminos de referencia para realizar los estudios definitivos de la via toacasosigchostramo san franciscoy,ministry of transport and public works terms of reference to carry out the definitive studies of the road: toacaso-sigchos; section: san francisco-y,"[('ministerio', 'NN'), ('para', 'NN'), ('realizar', 'NN'), ('los', 'JJ'), ('estudios', 'JJ'), ('definitivos', 'NN'), ('toacasosigchostramo', 'NN'), ('franciscoy', 'VBP')]"
P1008S17E520,construccion del puente rurayacu via hollin-loreto-coca,ministerio de transporte y obras publicas,sectorial comunicaciones,16069.84,0.0,4387.099999999999,3509.68,0.0,0.0,0.0,0.0,0.0,0.0,20456.94,3509.68,ministerio de transporte y obras publicas construccion del puente rurayacu via hollinloretococa,ministry of transport and public works construction of the rurayacu bridge via hollin-loreto-coca,"[('ministerio', 'NN'), ('construccion', 'NN'), ('puente', 'NN'), ('rurayacu', 'NN'), ('hollinloretococa', 'NN')]"
P1009S17E520,"construccion del puente chontayacu e45a (""y"" de narupa - hollin - lloreto)",ministerio de transporte y obras publicas,sectorial comunicaciones,60666.95999999999,0.0,26635.860000000004,26635.860000000004,0.0,0.0,0.0,0.0,0.0,0.0,87302.81999999999,26635.860000000004,"ministerio de transporte y obras publicas construccion del puente chontayacu ea (""y"" de narupa hollin lloreto)","ministry of transportation and public works construction of the chontayacu bridge e45a (""and"" of narupa - hollin - lloreto)","[('ministerio', 'NN'), ('construccion', 'NN'), ('puente', 'NN'), ('chontayacu', 'NN'), ('ea', 'NN'), ('y', 'NN'), ('lloreto', 'NN')]"
P100S03E034,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,secretaria de gestion de riesgos,sectorial administrativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secretaria de gestion de riesgos fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,secretary of risk management strengthening of inclusive services and support networks for people with disabilities in ecuador,"[('secretaria', 'NN'), ('gestion', 'NN'), ('con', 'NN'), ('discapacidad', 'NN'), ('ecuador', 'NN')]"
P100S03E038,fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,secretaria tecnica del plan toda una vida,sectorial administrativo,368396.43,221182.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368396.43,221182.97,secretaria tecnica del plan toda una vida fortalecimiento de servicios inclusivos y redes de apoyo para personas con discapacidad en ecuador,technical secretary of the plan for a lifetime strengthening of inclusive services and support networks for people with disabilities in ecuador,"[('tecnica', 'VBP'), ('del', 'NN'), ('plan', 'NN'), ('toda', 'VBP'), ('una', 'JJ'), ('vida', 'NN'), ('fortalecimiento', 'NN'), ('inclusivos', 'JJ'), ('y', 'NN'), ('con', 'NN'), ('discapacidad', 'NN'), ('ecuador', 'NN')]"
