Sectorial Entidad Proyecto Fuente,,,,INICIAL,Codificado Enero,Devengado Enero,Pagado Enero,Codificado Febrero,Devengado Febrero,Pagado Febrero,Codificado Marzo,Devengado Marzo,Pagado Marzo,Codificado Abril,Devengado Abril,Pagado Abril,Codificado Mayo,Devengado Mayo,Pagado Mayo,Codificado Junio,Devengado Junio,Pagado Junio,Codificado Julio,Devengado Julio,Pagado Julio,Codificado Agosto,Devengado Agosto,Pagado Agosto,Codificado Septiembre,Devengado Septiembre,Pagado Septiembre,Codificado Octubre,Devengado Octubre,Pagado Octubre,Codificado Noviembre,Devengado Noviembre,Pagado Noviembre,Codificado Diciembre,Devengado Diciembre,Pagado Diciembre
00 - SECTORIAL TESORO NACIONAL,996 - INGRESOS Y TRANSFERENCIAS,002  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO - FUENTE,006 - Compensación por Leyes y Decretos,0,0,0,0,3000000,0,0,594215.17,0,0,594215.17,0,0,594215.17,0,0,594215.17,0,0,594215.17,0,0,594215.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,202 - Préstamos Externos,4229767.06,4229767.06,0,0,4229767.06,1576384.17,1576384.17,6635551.89,1576384.17,1576384.17,6635551.89,1576384.17,1576384.17,6635551.89,1576384.17,1576384.17,6635551.89,1576384.17,1576384.17,6635551.89,1576384.17,1576384.17,6635551.89,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17,1576384.17
,,004  - EXPLORACION AVANZADA DEL AREA MINERA PACTO PARA LA,202 - Préstamos Externos,25484,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0,25484,0,0
,,005  - ESTUDIO DE PROSPECCION Y EXPLORACION Y PREFACTIBIL,202 - Préstamos Externos,267713.69,267713.69,0,0,267713.69,0,0,267713.69,0,0,267713.69,0,0,267713.69,0,0,238026,0,0,238026,0,0,238026,0,0,238026,0,0,238026,0,0,238026,0,0,238026,0,0
,,007  - PROYECTO DE PREFACTIBILIDAD MINERA DEL AREA LA BON,202 - Préstamos Externos,10786,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0,10786,0,0
,,013  - PROGRAMA DE INVERSIÓN ECUADOR ESTRATÉGICO MACRO SECTOR SOCIAL SECTORES SALUD  CULTURA  EQUIPAMIENTO URBANO Y VI,202 - Préstamos Externos,0,0,0,0,268228.27,0,0,268228.27,0,0,268228.27,0,0,268228.27,0,0,268228.27,0,0,268228.27,0,0,268228.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,013  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SECTOR SOCIAL SECTORES SALUD CULTURA EQUIPAMIENTO URBANO Y VIVI,006 - Compensación por Leyes y Decretos,0,0,0,0,10412045,0,0,10412045,0,0,10412045,0,0,10412045,0,0,10412045,3849588.62,3849588.62,10412045,3849588.62,3849588.62,6858471.54,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62,3849588.62
,,014  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO MACRO SE,202 - Préstamos Externos,500000,500000,0,0,2172926.59,0,0,2172926.59,0,0,2172926.59,0,0,2172926.59,0,0,2172926.59,0,0,2172926.59,1007675.33,0,2172926.59,1007675.33,0,1007675.33,1007675.33,0,1007675.33,1007675.33,1007675.33,1007675.33,1007675.33,1007675.33,1007675.33,1007675.33,1007675.33
,,016  - PROGRAMA DE INVERSIÓN ECUADOR ESTRATÉGICO MACRO SECTOR SECTORES ESTRATÉGICOS SECTORES ENERGÍA  AMBIENTE Y TELEC,202 - Préstamos Externos,0,0,0,0,96089.98,0,0,96089.98,0,0,96089.98,0,0,96089.98,0,0,96089.98,0,0,96089.98,0,0,96089.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,018  - PROGRAMA DE INVERSION ECUADOR ESTRATEGICO 2012,202 - Préstamos Externos,11826571.07,11826571.07,0,0,7385857.4,0,0,7385857.4,0,0,7385857.4,0,0,7385857.4,0,0,4488457.97,73471.55,73471.55,4488457.97,636850.18,73471.55,4488457.97,636850.18,73471.55,636850.18,636850.18,73471.55,636850.18,636850.18,636850.18,636850.18,636850.18,636850.18,636850.18,636850.18,636850.18
