id,ssdg,sdg,text,sentence,word_types,nouns,verbs,adjectives
G1G1,"Eradicating poverty in all its forms remains one of the greatest challenges facing humanity. While the number of people living in extreme poverty dropped by more than half between 1990 and 2015, too many are still struggling for the most basic human needs.",no poverty,no poverty eradicating poverty in all its forms remains one of the greatest challenges facing humanity while the number of people living in extreme poverty dropped by more than half between  and  too many are still struggling for the most basic human needs,"['poverty', 'poverty', 'humanity', 'number', 'extreme', 'poverty', 'half', 'many', 'are', 'basic', 'human']","['NN', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'VBP', 'JJ', 'JJ']",6,1,4
G2G2,"As of 2015, about 736 million people still lived on less than US$1.90 a day; many lack food, clean drinking water and sanitation. Rapid growth in countries such as China and India has lifted millions out of poverty, but progress has been uneven. Women are more likely to be poor than men because they have less paid work, education, and own less property.",no poverty,no poverty as of  about  million people still lived on less than us a day many lack food clean drinking water and sanitation rapid growth in countries such as china and india has lifted millions out of poverty but progress has been uneven women are more likely to be poor than men because they have less paid work education and own less property,"['poverty', 'day', 'many', 'lack', 'food', 'clean', 'drinking', 'water', 'sanitation', 'rapid', 'growth', 'such', 'china', 'india', 'poverty', 'progress', 'uneven', 'are', 'likely', 'poor', 'have', 'work', 'education', 'own', 'property']","['NN', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'JJ', 'VBP', 'JJ', 'JJ', 'VBP', 'NN', 'NN', 'JJ', 'NN']",15,2,8
G3G3,"Progress has also been limited in other regions, such as South Asia and sub-Saharan Africa, which account for 80 percent of those living in extreme poverty. New threats brought on by climate change, conflict and food insecurity, mean even more work is needed to bring people out of poverty.",no poverty,no poverty progress has also been limited in other regions such as south asia and subsaharan africa which account for  percent of those living in extreme poverty new threats brought on by climate change conflict and food insecurity mean even more work is needed to bring people out of poverty,"['poverty', 'progress', 'other', 'such', 'south', 'asia', 'subsaharan', 'africa', 'account', 'percent', 'extreme', 'poverty', 'new', 'climate', 'change', 'conflict', 'food', 'insecurity', 'work', 'poverty']","['NN', 'NN', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN']",15,0,5
G4G4,"The SDGs are a bold commitment to finish what we started, and end poverty in all forms and dimensions by 2030. This involves targeting the most vulnerable, increasing basic resources and services, and supporting communities affected by conflict and climate-related disasters.",no poverty,no poverty the sdgs are a bold commitment to finish what we started and end poverty in all forms and dimensions by  this involves targeting the most vulnerable increasing basic resources and services and supporting communities affected by conflict and climaterelated disasters,"['poverty', 'sdgs', 'are', 'bold', 'commitment', 'poverty', 'vulnerable', 'basic', 'conflict']","['NN', 'NN', 'VBP', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN']",5,1,3
G5G1,"The number of undernourished people has dropped by almost half in the past two decades because of rapid economic growth and increased agricultural productivity. Many developing countries that used to suffer from famine and hunger can now meet their nutritional needs. Central and East Asia, Latin America and the Caribbean have all made huge progress in eradicating extreme hunger.",zero hunger,zero hunger the number of undernourished people has dropped by almost half in the past two decades because of rapid economic growth and increased agricultural productivity many developing countries that used to suffer from famine and hunger can now meet their nutritional needs central and east asia latin america and the caribbean have all made huge progress in eradicating extreme hunger,"['zero', 'number', 'undernourished', 'half', 'past', 'rapid', 'economic', 'growth', 'agricultural', 'productivity', 'many', 'famine', 'hunger', 'nutritional', 'central', 'east', 'asia', 'latin', 'america', 'caribbean', 'have', 'huge', 'progress', 'extreme', 'hunger']","['NN', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'JJ', 'NN']",13,1,11
G6G2,"Unfortunately, extreme hunger and malnutrition remain a huge barrier to development in many countries. There are 821 million people estimated to be chronically undernourished as of 2017, often as a direct consequence of environmental degradation, drought and biodiversity loss. Over 90 million children under five are dangerously underweight. Undernourishment and severe food insecurity appear to be increasing in almost all regions of Africa, as well as in South America.",zero hunger,zero hunger unfortunately extreme hunger and malnutrition remain a huge barrier to development in many countries there are  million people estimated to be chronically undernourished as of  often as a direct consequence of environmental degradation drought and biodiversity loss over  million children under five are dangerously underweight undernourishment and severe food insecurity appear to be increasing in almost all regions of africa as well as in south america,"['zero', 'hunger', 'extreme', 'hunger', 'malnutrition', 'remain', 'huge', 'barrier', 'development', 'many', 'are', 'undernourished', 'direct', 'consequence', 'environmental', 'degradation', 'drought', 'biodiversity', 'loss', 'are', 'underweight', 'undernourishment', 'severe', 'food', 'insecurity', 'appear', 'africa', 'south', 'america']","['NN', 'NN', 'JJ', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'NN', 'JJ', 'VBP', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'VBP', 'NN', 'NN', 'NN']",17,4,8
G7G3,"The SDGs aim to end all forms of hunger and malnutrition by 2030, making sure all people–especially children–have sufficient and nutritious food all year. This involves promoting sustainable agricultural, supporting small-scale farmers and equal access to land, technology and markets. It also requires international cooperation to ensure investment in infrastructure and technology to improve agricultural productivity.",zero hunger,zero hunger the sdgs aim to end all forms of hunger and malnutrition by  making sure all people–especially children–have sufficient and nutritious food all year this involves promoting sustainable agricultural supporting smallscale farmers and equal access to land technology and markets it also requires international cooperation to ensure investment in infrastructure and technology to improve agricultural productivity,"['zero', 'hunger', 'sdgs', 'aim', 'hunger', 'malnutrition', 'sure', 'children–have', 'sufficient', 'nutritious', 'food', 'year', 'sustainable', 'agricultural', 'smallscale', 'equal', 'access', 'technology', 'international', 'cooperation', 'investment', 'infrastructure', 'technology', 'agricultural', 'productivity']","['NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'VBP', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'JJ', 'NN']",15,1,9
G8G1,"We have made great progress against several leading causes of death and disease. Life expectancy has increased dramatically; infant and maternal mortality rates have declined, we’ve turned the tide on HIV and malaria deaths have halved.",Good health and well being,good health and well being we have made great progress against several leading causes of death and disease life expectancy has increased dramatically infant and maternal mortality rates have declined we’ve turned the tide on hiv and malaria deaths have halved,"['good', 'health', 'have', 'great', 'progress', 'several', 'leading', 'death', 'disease', 'life', 'expectancy', 'infant', 'maternal', 'mortality', 'have', '’', 'tide', 'hiv', 'malaria', 'have']","['JJ', 'NN', 'VBP', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'VBP', 'VBP', 'NN', 'NN', 'NN', 'VBP']",10,4,6
G9G2,"Good health is essential to sustainable development and the 2030 Agenda reflects the complexity and interconnectedness of the two. It takes into account widening economic and social inequalities, rapid urbanization, threats to the climate and the environment, the continuing burden of HIV and other infectious diseases, and emerging challenges such as noncommunicable diseases. Universal health coverage will be integral to achieving SDG 3, ending poverty and reducing inequalities. Emerging global health priorities not explicitly included in the SDGs, including antimicrobial resistance, also demand action.",Good health and well being,good health and well being good health is essential to sustainable development and the  agenda reflects the complexity and interconnectedness of the two it takes into account widening economic and social inequalities rapid urbanization threats to the climate and the environment the continuing burden of hiv and other infectious diseases and emerging challenges such as noncommunicable diseases universal health coverage will be integral to achieving sdg  ending poverty and reducing inequalities emerging global health priorities not explicitly included in the sdgs including antimicrobial resistance also demand action,"['good', 'health', 'good', 'health', 'essential', 'sustainable', 'development', 'agenda', 'complexity', 'interconnectedness', 'account', 'economic', 'social', 'rapid', 'urbanization', 'climate', 'environment', 'burden', 'hiv', 'other', 'infectious', 'such', 'noncommunicable', 'universal', 'health', 'coverage', 'integral', 'sdg', 'poverty', 'global', 'health', 'sdgs', 'antimicrobial', 'resistance', 'demand', 'action']","['JJ', 'NN', 'JJ', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'NN', 'NN', 'JJ', 'JJ', 'JJ', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'VBP', 'NN']",18,1,17
G10G3,"But the world is off-track to achieve the health-related SDGs. Progress has been uneven, both between and within countries. There’s a 31-year gap between the countries with the shortest and longest life expectancies. And while some countries have made impressive gains, national averages hide that many are being left behind. Multisectoral, rights-based and gender-sensitive approaches are essential to address inequalities and to build good health for all.",Good health and well being,good health and well being but the world is offtrack to achieve the healthrelated sdgs progress has been uneven both between and within countries there’s a year gap between the countries with the shortest and longest life expectancies and while some countries have made impressive gains national averages hide that many are being left behind multisectoral rightsbased and gendersensitive approaches are essential to address inequalities and to build good health for all,"['good', 'health', 'world', 'offtrack', 'healthrelated', 'sdgs', 'progress', 'uneven', 'year', 'gap', 'shortest', 'life', 'have', 'impressive', 'national', 'hide', 'many', 'are', 'multisectoral', 'gendersensitive', 'are', 'essential', 'good', 'health']","['JJ', 'NN', 'NN', 'JJ', 'JJ', 'NN', 'NN', 'JJ', 'NN', 'NN', 'NN', 'NN', 'VBP', 'JJ', 'JJ', 'VBP', 'JJ', 'VBP', 'JJ', 'JJ', 'VBP', 'JJ', 'JJ', 'NN']",9,4,11
