id,text,G13T,target_non_classified,G4T1,G4T9,G1T1,G1T3,G8T7,G1T2,G9T,G16T,G8T6,G9T5,G16T1,G11T,G2T2,G14T5,G8T5,G15T1,G9T7,G12T,G1T,G4T3,G4T5,G4T6,G13T2,G7T,G3T12,G7,G15,G1,G11,G2,sdg_non_classified,G12,G16,G3,G8,G14,G4,G13,G9
BASE-O-1,agencia de regulacion y control de la bioseguridad y cuarentena para galapagos consolidacion del sistema de prevencion control y erradicacion de especies invasoras en las islas galapagos regulacion prevencion y control para la bioseguridad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-2,agencia de regulacion y control hidrocarburifero arch equipamiento del laboratorio de hidrocarburos de la arch para fortalecimiento de sus actividades de control regulacion y control hidrocarburifero,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-3,agencia de regulacion y control mineroarcom proyecto de seguimiento control y evaluacion de labores mineras en el distrito zaruma ? portovelo regulacion y control minero,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-4,agencia de regulacion y control mineroarcom proyecto implementacion del sistema de auditoria minera validacion y cuantificacion de recursos y reservas mineras reportadas por los concesionarios mineros regulacion y control minero,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-5,agencia de regulacion y control mineroarcom determinacion de la zona de seguridad y ampliacion de la zona de exclusion minera para el area urbana del canton zaruma disminucion de la mineria ilegal e informal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-6,agencia ecuatoriana de aseguramiento de la calidad del agro agrocalidad erradicacion de la fiebre aftosa vigilancia y control sanitario del sector agropecuario,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-7,agencia ecuatoriana de aseguramiento de la calidad del agro agrocalidad proyecto de control y erradicacion de la peste porcina clasica por zonificacion en ecuador vigilancia y control sanitario del sector agropecuario,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-8,agencia ecuatoriana de aseguramiento de la calidad del agro agrocalidad proyecto nacional de manejo de moscas de la fruta vigilancia y control sanitario del sector agropecuario,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-9,agencia ecuatoriana de aseguramiento de la calidad del agro agrocalidad proyecto de calidad agroalimentaria vigilancia y control sanitario del sector agropecuario,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-10,agencia nacional de regulacion control y vigilancia sanitaria arcsa estudios de infraestructura fisica y tecnologica para el fortalecimiento de la agencia nacional de regulacion control y vigilancia sanitaria y adquisicion de equipamiento fase inicial para el laboratorio de referencia regulacion y control sanitario,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-11,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial creacion del laboratorio de homologacion vehicular regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-12,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto para el fortalecimiento y mejora de la calidad del servicio de transporte intra e interprovincial en el ecuador regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-13,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto de seguridad integral para el transporte publico y comercial regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-14,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial implementacion del sistema nacional de registro electronico vehicular regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-15,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto para el fortalecimiento y mejora de la calidad del servicio de transporte urbano en el ecuador regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-16,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto para el fortalecimiento del proceso previo a la emision de licencias no profesionales tipo ?b? por primera vez regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-17,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial implementacion de sistemas de control de transito para mejoramiento de la movilidad terrestre y seguridad vial en el ecuador regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-18,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial fortalecimiento de la capacidad institucional de la agencia nacional de transito en la recoleccion de datos y produccion de las estadisticas de siniestros de transito a nivel nacional regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-19,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial remodelacion y mejoramiento para las nuevas instalaciones de cntttsv y agencia de transito quito norte regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-20,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial fortalecimiento de la capacidad institucional de la agencia nacional de transito en la recoleccion de datos y produccion de las estadisticas de siniestros de transito a nivel nacional regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-21,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto para el fortalecimiento del proceso previo a la emision de licencias no profesionales tipo ?b? por primera vez regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-22,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial creacion del laboratorio de homologacion vehicular regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASE-O-23,agencia nacional de regulacion y control del transporte terrestre transito y seguridad vial proyecto para el fortalecimiento y mejora de la calidad del servicio de transporte intra e interprovincial en el ecuador regulacion y control del transporte terrestre transito y seguridad vial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
